Time,Scale
0,0.8
0.008,0.810863
0.016,0.821686
0.024,0.832469
0.032,0.843211
0.04,0.853912
0.048,0.864571
0.056,0.875188
0.064,0.885763
0.072,0.896295
0.08,0.906783
0.088,0.917228
0.096,0.927629
0.104,0.937985
0.112,0.948296
0.12,0.958562
0.128,0.968783
0.136,0.978957
0.144,0.989084
0.152,0.999165
0.16,1.0092
0.168,1.01918
0.176,1.02912
0.184,1.03901
0.192,1.04885
0.2,1.05864
0.208,1.06838
0.216,1.07807
0.224,1.08771
0.232,1.0973
0.24,1.10684
0.248,1.11633
0.256,1.12576
0.264,1.13515
0.272,1.14448
0.28,1.15375
0.288,1.16298
0.296,1.17214
0.304,1.18126
0.312,1.19032
0.32,1.19933
0.328,1.20828
0.336,1.21717
0.344,1.22601
0.352,1.23479
0.36,1.24352
0.368,1.25219
0.376,1.2608
0.384,1.26936
0.392,1.27785
0.4,1.28629
0.408,1.29467
0.416,1.30299
0.424,1.31125
0.432,1.31945
0.44,1.32759
0.448,1.33567
0.456,1.34369
0.464,1.35165
0.472,1.35955
0.48,1.36739
0.488,1.37516
0.496,1.38287
0.504,1.39052
0.512,1.39811
0.52,1.40563
0.528,1.4131
0.536,1.42049
0.544,1.42783
0.552,1.43509
0.56,1.4423
0.568,1.44944
0.576,1.45651
0.584,1.46352
0.592,1.47046
0.6,1.47734
0.608,1.48415
0.616,1.4909
0.624,1.49757
0.632,1.50419
0.64,1.51073
0.648,1.5172
0.656,1.52361
0.664,1.52995
0.672,1.53622
0.68,1.54243
0.688,1.54856
0.696,1.55463
0.704,1.56062
0.712,1.56655
0.72,1.57241
0.728,1.57819
0.736,1.58391
0.744,1.58956
0.752,1.59513
0.76,1.60064
0.768,1.60607
0.776,1.61143
0.784,1.61672
0.792,1.62194
0.8,1.62709
0.808,1.63217
0.816,1.63717
0.824,1.6421
0.832,1.64696
0.84,1.65174
0.848,1.65645
0.856,1.66109
0.864,1.66566
0.872,1.67015
0.88,1.67456
0.888,1.67891
0.896,1.68318
0.904,1.68737
0.912,1.69149
0.92,1.69554
0.928,1.69951
0.936,1.7034
0.944,1.70722
0.952,1.71097
0.96,1.71464
0.968,1.71823
0.976,1.72175
0.984,1.72519
0.992,1.72856
1,1.73185
1.008,1.73507
1.016,1.7382
1.024,1.74127
1.032,1.74425
1.04,1.74716
1.048,1.74999
1.056,1.75274
1.064,1.75542
1.072,1.75802
1.08,1.76054
1.088,1.76299
1.096,1.76536
1.104,1.76765
1.112,1.76986
1.12,1.77199
1.128,1.77405
1.136,1.77603
1.144,1.77793
1.152,1.77975
1.16,1.7815
1.168,1.78316
1.176,1.78475
1.184,1.78626
1.192,1.78769
1.2,1.78904
1.208,1.79032
1.216,1.79151
1.224,1.79263
1.232,1.79367
1.24,1.79463
1.248,1.79551
1.256,1.79631
1.264,1.79704
1.272,1.79768
1.28,1.79825
1.288,1.79873
1.296,1.79914
1.304,1.79947
1.312,1.79972
1.32,1.79989
1.328,1.79998
1.336,1.8
1.344,1.79993
1.352,1.79979
1.36,1.79956
1.368,1.79926
1.376,1.79888
1.384,1.79842
1.392,1.79788
1.4,1.79726
